Dataset,Algorithm,Shuffle,F1
ClevelandHeart_UCI,KernelPerceptron,1,0.7949
ClevelandHeart_UCI,KernelPA,1,0.8101
ClevelandHeart_UCI,KernelAROW,1,0.7500
ClevelandHeart_UCI,KernelGC,1,0.8000
ClevelandHeart_UCI,KernelRDA,1,0.6441
ClevelandHeart_UCI,KernelSCW,1,0.8000
ClevelandHeart_UCI,KernelAdaRDA,1,0.8052
ClevelandHeart_UCI,KernelPerceptron,2,0.7532
ClevelandHeart_UCI,KernelPA,2,0.7714
ClevelandHeart_UCI,KernelAROW,2,0.7945
ClevelandHeart_UCI,KernelGC,2,0.8060
ClevelandHeart_UCI,KernelRDA,2,0.7333
ClevelandHeart_UCI,KernelSCW,2,0.7945
ClevelandHeart_UCI,KernelAdaRDA,2,0.8182
ClevelandHeart_UCI,KernelPerceptron,3,0.6400
ClevelandHeart_UCI,KernelPA,3,0.7333
ClevelandHeart_UCI,KernelAROW,3,0.7901
ClevelandHeart_UCI,KernelGC,3,0.7805
ClevelandHeart_UCI,KernelRDA,3,0.3077
ClevelandHeart_UCI,KernelSCW,3,0.7654
ClevelandHeart_UCI,KernelAdaRDA,3,0.7595
